=== Uptime Check Started at 11/30/2025 16:20:55 ===
UP: https://www.google.com responded in 1304.4694ms at 11/30/2025 16:20:56
UP: https://www.google.com responded in 2097.3335ms at 11/30/2025 16:21:13
=== Uptime Check Started at 11/30/2025 16:21:14 ===
UP: https://www.google.com responded in 1379.5166ms at 11/30/2025 16:21:15
UP: https://www.google.com responded in 968.4141ms at 11/30/2025 16:21:29
UP: https://www.google.com responded in 1104.992ms at 11/30/2025 16:21:31
UP: https://www.google.com responded in 3419.672ms at 11/30/2025 16:21:48
UP: https://www.google.com responded in 1748.3ms at 11/30/2025 16:21:48
UP: https://www.google.com responded in 1815.4395ms at 11/30/2025 16:22:05
UP: https://www.google.com responded in 2428.7075ms at 11/30/2025 16:22:22
UP: https://www.google.com responded in 6395.9246ms at 11/30/2025 16:22:43
UP: https://www.google.com responded in 1745.4153ms at 11/30/2025 16:23:00
UP: https://www.google.com responded in 1141.9804ms at 11/30/2025 16:23:16
UP: https://www.google.com responded in 996.7947ms at 11/30/2025 16:23:32
UP: https://www.google.com responded in 1403.4722ms at 11/30/2025 16:23:49
UP: https://www.google.com responded in 1689.1434ms at 11/30/2025 16:24:05
UP: https://www.google.com responded in 1452.7074ms at 11/30/2025 16:24:22
UP: https://www.google.com responded in 1774.1587ms at 11/30/2025 16:24:39
UP: https://www.google.com responded in 1190.5219ms at 11/30/2025 16:24:55
